bullet_type,caliber,gun_type,velocity,mass,rifling_twist,target_material,distance,damage_level
AP,14.05,HK USP,642.67,2.0,8.76,Sand,1.0,60
SP,11.85,FN Five-seveN,490.21,5.63,10.68,Rubber,22.0,40
HST,7.57,HK USP,314.12,11.4,9.76,Ceramic,57.0,9
HST,9.23,Kel-Tec KSG,412.24,2.61,9.37,Brick,28.0,31
Critical Defense,5.0,Sig Sauer P320,738.73,6.58,14.0,Kevlar,2.0,24
Golden Saber,12.19,Smith & Wesson M&P,510.37,11.27,7.63,Concrete,27.0,13
PolyCase ARX,8.11,Desert Eagle,408.39,6.74,8.53,Metal,6.0,46
V-MAX,5.0,Remington 870,728.11,5.78,12.14,Concrete,4.0,34
SP,5.45,M4 Carbine,671.03,13.02,13.48,Rubber,5.0,67
BTHP,11.61,Dragunov SVD,331.95,7.09,11.34,Wood,72.0,31
BT,13.84,M4 Carbine,459.1,3.83,9.54,Glass,22.0,73
AccuBond,9.06,Desert Eagle,300.0,11.33,8.42,Concrete,76.0,22
HST,6.05,SCAR-L,674.39,12.55,11.72,Rubber,38.0,47
Golden Saber,5.0,AK-47,500.81,8.72,9.98,Glass,52.0,57
PolyCase ARX,13.24,Walther PPQ,634.03,5.68,8.96,Concrete,16.0,26
SP,10.35,Benelli M4,300.0,4.45,12.14,Wood,9.0,55
FMJ,8.01,Ruger SR9,443.83,5.79,9.7,Wood,27.0,40
Black Talon,7.3,Ruger SR9,533.52,2.96,7.37,Brick,1.0,27
PolyCase ARX,11.02,HK USP,300.0,6.03,10.24,Glass,21.0,68
PowerBond,10.93,M4 Carbine,631.27,10.2,9.31,Rubber,63.0,47
FMJ,6.31,Benelli M4,435.31,10.95,8.01,Ceramic,37.0,25
SP,5.57,Springfield XD,300.0,8.11,10.61,Kevlar,4.0,24
V-Crown,5.72,Colt 1911,397.1,9.53,10.9,Water,3.0,71
Partition,7.6,Smith & Wesson M&P,591.34,7.06,6.0,Water,35.0,46
TMJ,6.93,Beretta 92FS,317.38,5.08,12.18,Concrete,1.0,-1
Extreme Point,13.85,Remington 700,490.87,6.63,12.01,Brick,100.0,10
SP,7.49,Glock 17,413.37,12.5,9.77,Ceramic,13.0,24
AMAX,5.25,Colt 1911,300.0,2.0,8.42,Wood,53.0,37
Golden Saber,5.42,Springfield XD,624.77,3.42,11.08,Brick,33.0,21
AccuBond,8.45,Beretta 92FS,661.55,6.11,10.01,Brick,24.0,19
V-Crown,5.0,Springfield XD,729.75,3.56,8.94,Sand,5.0,48
Hydra-Shok,8.82,M4 Carbine,501.8,9.75,8.98,Kevlar,2.0,21
Extreme Point,5.0,Beretta 92FS,596.92,2.0,10.36,Water,21.0,44
PowerBond,12.48,HK416,300.0,12.81,12.66,Brick,4.0,38
JHP,9.35,Kel-Tec KSG,548.03,15.83,7.37,Brick,35.0,27
TMJ,15.0,Beretta 92FS,436.41,9.0,10.62,Wood,1.0,72
JHP,8.32,Colt 1911,484.61,5.52,8.23,Concrete,15.0,21
HST,5.0,HK USP,300.0,11.71,10.64,Metal,11.0,22
AMAX,13.37,Mossberg 500,724.53,6.87,11.15,Metal,52.0,37
FMJ,10.51,CZ 75,300.0,4.58,7.53,Metal,46.0,19
BTHP,10.97,Mossberg 500,554.4,8.21,11.14,Metal,25.0,39
EFMJ,5.99,M16,316.5,2.0,10.52,Water,28.0,42
Extreme Point,8.87,Winchester Model 70,923.72,5.04,12.61,Ceramic,25.0,24
Ranger T-Series,9.56,Springfield XD,639.07,4.94,10.04,Sand,22.0,41
ELD-M,8.29,Smith & Wesson M&P,494.3,7.62,10.57,Metal,100.0,1
TMJ,5.0,AR-15,300.0,2.0,10.86,Wood,27.0,45
PowerBond,15.0,M4 Carbine,678.01,4.29,12.84,Water,58.0,56
SP,11.51,Walther PPQ,300.0,5.95,6.37,Brick,11.0,34
V-Crown,10.26,Springfield XD,576.83,9.9,6.89,Glass,100.0,11
Partition,12.94,Remington 700,602.08,8.01,9.79,Glass,19.0,87
AccuBond,10.93,HK416,590.35,14.54,10.73,Water,47.0,44
Critical Duty,6.97,Remington 870,667.57,4.38,6.69,Kevlar,2.0,27
ELD-M,12.75,Kel-Tec KSG,387.01,11.53,9.87,Water,19.0,59
Partition,11.56,CZ 75,609.86,11.53,8.49,Metal,99.0,13
AP,7.08,Desert Eagle,366.0,8.72,7.41,Brick,1.0,48
Critical Duty,11.37,AR-15,333.92,8.57,9.65,Sand,59.0,52
Black Talon,8.28,Kel-Tec KSG,300.0,9.06,11.42,Metal,3.0,54
FMJ,9.63,Winchester Model 70,449.6,4.24,13.7,Sand,100.0,14
AMAX,10.8,Springfield XD,722.24,11.84,14.0,Brick,7.0,36
Golden Saber,13.11,M16,843.02,8.3,12.49,Ceramic,32.0,44
Ranger T-Series,7.06,Springfield XD,445.92,3.19,10.65,Kevlar,1.0,30
Golden Saber,10.09,Barrett M82,371.01,12.76,9.78,Rubber,7.0,59
Critical Defense,15.0,Barrett M82,765.89,7.57,10.3,Rubber,18.0,53
Gold Dot,8.47,Mossberg 500,586.69,8.21,10.3,Concrete,5.0,18
PowerBond,9.59,AK-47,505.81,2.0,12.24,Rubber,29.0,38
Hydra-Shok,15.0,Desert Eagle,300.0,7.67,13.2,Glass,23.0,81
JHP,10.91,Remington 870,786.34,13.08,7.67,Glass,94.0,41
JHP,5.0,CZ 75,518.74,5.49,9.41,Rubber,18.0,26
PowerBond,6.61,Glock 17,500.03,2.85,11.92,Wood,29.0,55
Extreme Point,11.07,Ruger SR9,608.34,9.82,9.75,Water,2.0,52
Gold Dot,10.27,HK USP,504.38,2.0,9.17,Metal,1.0,38
Partition,9.49,Kel-Tec KSG,794.93,10.4,12.32,Wood,17.0,80
Extreme Point,15.0,M16,702.36,7.19,8.98,Ceramic,84.0,33
Extreme Point,7.15,M16,387.73,8.33,11.32,Concrete,6.0,32
HST,8.78,Desert Eagle,517.38,17.46,9.36,Rubber,1.0,60
Black Talon,5.0,AK-47,382.92,9.0,14.0,Glass,8.0,102
TMJ,12.48,Mossberg 500,877.87,2.65,12.5,Metal,27.0,29
V-MAX,6.6,Glock 17,355.42,8.46,9.34,Concrete,32.0,27
Hydra-Shok,12.17,Desert Eagle,476.19,10.97,10.55,Concrete,30.0,19
Extreme Point,11.86,Sig Sauer P320,572.79,2.0,11.17,Concrete,2.0,24
EFMJ,15.0,Desert Eagle,601.14,7.95,9.16,Glass,29.0,65
BT,10.95,Winchester Model 70,634.92,2.0,9.37,Rubber,2.0,52
FMJ,7.93,Benelli M4,660.19,8.1,11.68,Kevlar,87.0,12
AMAX,10.36,M16,638.57,14.18,9.99,Concrete,9.0,41
PolyCase ARX,6.72,Remington 870,413.41,6.26,7.19,Kevlar,24.0,29
Critical Defense,9.96,CZ 75,390.73,8.31,11.13,Rubber,13.0,54
Critical Defense,8.4,Colt 1911,507.65,9.12,11.93,Concrete,6.0,45
BT,8.79,Benelli M4,389.66,9.37,9.35,Brick,19.0,41
ELD-M,6.3,Winchester Model 70,368.46,8.59,8.45,Kevlar,1.0,10
AP,9.9,HK416,415.61,2.0,12.66,Ceramic,14.0,31
V-MAX,11.47,Dragunov SVD,920.43,8.74,10.31,Ceramic,1.0,40
Critical Duty,5.0,Colt 1911,808.76,5.46,9.84,Rubber,17.0,41
Black Talon,6.93,Kel-Tec KSG,452.16,3.44,9.84,Brick,12.0,36
Hydra-Shok,9.5,Remington 700,300.0,8.8,12.91,Glass,45.0,49
SP,5.0,Smith & Wesson M&P,381.94,8.56,10.52,Water,68.0,29
PowerBond,14.22,M4 Carbine,676.0,2.0,10.89,Kevlar,21.0,32
AMAX,6.87,Sig Sauer P320,300.0,6.4,9.69,Wood,4.0,61
Black Talon,6.19,Walther PPQ,620.77,13.37,10.03,Concrete,15.0,33
Ranger T-Series,8.38,Benelli M4,607.94,2.97,9.37,Concrete,1.0,23
Critical Duty,9.41,Dragunov SVD,503.46,8.67,10.98,Water,29.0,54
V-Crown,6.73,M16,492.48,3.18,7.78,Brick,1.0,42
TMJ,11.94,Remington 700,319.08,14.56,10.47,Sand,33.0,33
Gold Dot,10.2,Barrett M82,639.36,10.79,9.27,Glass,6.0,88
HST,6.49,Remington 870,561.98,4.68,8.97,Brick,6.0,38
AccuBond,7.43,AR-15,403.87,8.86,10.89,Wood,2.0,85
Gold Dot,5.0,M4 Carbine,343.0,2.52,10.0,Water,23.0,73
PowerBond,5.24,Remington 870,300.0,2.0,8.01,Sand,9.0,54
BT,10.16,HK USP,574.3,7.62,8.23,Concrete,2.0,14
PolyCase ARX,6.52,Smith & Wesson M&P,459.55,4.97,10.4,Kevlar,8.0,11
PowerBond,14.41,Barrett M82,462.1,8.79,8.43,Concrete,51.0,16
BTHP,9.21,HK416,300.0,2.0,6.69,Concrete,1.0,22
Critical Defense,5.0,M4 Carbine,300.0,5.77,11.65,Glass,22.0,83
PolyCase ARX,5.57,Beretta 92FS,300.0,14.12,7.52,Brick,14.0,30
FMJ,12.16,Walther PPQ,653.75,13.72,9.29,Concrete,18.0,15
FMJ,8.77,Colt 1911,534.34,14.69,8.17,Sand,10.0,34
Hydra-Shok,11.98,HK USP,443.4,17.04,8.11,Rubber,13.0,36
JHP,7.9,CZ 75,721.11,6.38,10.68,Ceramic,28.0,21
Extreme Point,7.32,HK416,692.83,2.0,8.69,Sand,13.0,34
Ranger T-Series,12.36,FN Five-seveN,721.09,12.42,9.55,Metal,9.0,43
Partition,6.42,Glock 17,451.59,3.53,6.38,Concrete,6.0,32
AMAX,10.47,Benelli M4,300.0,16.24,13.5,Sand,12.0,60
Critical Duty,8.36,M16,841.3,8.33,10.72,Water,17.0,79
PolyCase ARX,11.64,Winchester Model 70,604.84,14.54,12.79,Wood,9.0,82
FMJ,14.46,Springfield XD,608.99,7.38,12.56,Sand,46.0,34
Ranger T-Series,7.82,M16,635.17,5.28,12.38,Brick,100.0,27
ELD-M,7.36,Mossberg 500,1000.0,10.91,9.5,Metal,5.0,58
BT,11.0,Dragunov SVD,479.91,9.96,10.09,Wood,21.0,51
Extreme Point,5.75,M16,787.3,3.42,8.01,Metal,5.0,48
PowerBond,13.85,Desert Eagle,329.48,7.86,10.18,Brick,16.0,34
SP,13.34,M4 Carbine,663.05,5.7,7.51,Ceramic,10.0,17
Critical Defense,6.0,Beretta 92FS,856.69,8.82,12.83,Metal,6.0,47
Ranger T-Series,5.0,M16,490.61,7.86,11.79,Wood,8.0,89
Gold Dot,5.52,M16,300.0,8.55,11.25,Kevlar,3.0,11
BT,5.56,CZ 75,613.4,8.06,8.88,Metal,2.0,25
Extreme Point,11.41,Barrett M82,456.62,6.59,12.34,Concrete,12.0,15
Partition,13.65,AK-47,668.85,9.44,6.84,Water,34.0,70
Golden Saber,11.37,Mossberg 500,406.72,4.97,9.79,Brick,23.0,22
BT,8.29,HK416,977.52,14.59,10.31,Ceramic,18.0,32
Hydra-Shok,10.03,Walther PPQ,521.29,7.94,13.26,Water,11.0,66
HST,6.39,Ruger SR9,658.22,11.37,7.41,Kevlar,13.0,33
Golden Saber,12.29,Benelli M4,300.06,5.86,12.71,Metal,1.0,49
Black Talon,10.3,Glock 17,300.0,6.3,12.32,Wood,56.0,62
BT,11.32,AR-15,300.0,11.69,12.42,Water,7.0,42
Critical Defense,6.82,Smith & Wesson M&P,300.0,11.04,8.85,Wood,49.0,46
Ranger T-Series,8.49,FN Five-seveN,635.69,7.51,10.9,Brick,25.0,33
Ranger T-Series,11.18,Glock 17,379.4,2.0,11.81,Sand,16.0,51
PolyCase ARX,13.33,CZ 75,300.0,5.9,10.59,Concrete,12.0,21
ELD-M,7.18,Beretta 92FS,360.66,7.65,10.71,Ceramic,8.0,29
AP,11.34,CZ 75,640.73,5.27,10.97,Ceramic,20.0,17
FMJ,6.86,CZ 75,635.74,2.91,8.73,Glass,70.0,28
BT,15.0,Desert Eagle,699.38,11.42,8.69,Wood,33.0,54
PowerBond,7.76,Dragunov SVD,443.69,7.28,11.55,Ceramic,10.0,25
TMJ,10.93,Colt 1911,899.42,15.24,8.8,Brick,13.0,21
Extreme Point,9.5,Mossberg 500,716.4,7.33,10.66,Kevlar,13.0,23
BT,15.0,CZ 75,300.0,8.71,7.44,Concrete,6.0,12
AP,9.69,Winchester Model 70,662.43,5.64,9.57,Sand,38.0,33
JHP,7.45,SCAR-L,503.82,14.04,13.01,Concrete,24.0,38
Black Talon,10.92,AK-47,466.99,6.79,10.43,Wood,18.0,89
TMJ,10.85,Walther PPQ,501.97,7.19,12.38,Brick,11.0,37
Gold Dot,8.53,Desert Eagle,366.81,4.19,13.36,Ceramic,5.0,15
FMJ,5.72,AR-15,701.8,9.52,11.81,Rubber,20.0,35
AccuBond,7.42,FN Five-seveN,384.35,6.68,10.88,Wood,5.0,56
BT,11.64,Barrett M82,387.97,4.12,9.8,Sand,1.0,40
Critical Duty,5.0,AR-15,652.04,7.81,9.57,Brick,1.0,52
AP,8.26,Barrett M82,934.1,10.9,9.36,Metal,24.0,43
Ranger T-Series,11.98,HK416,400.62,14.59,12.2,Rubber,9.0,45
AccuBond,8.72,Benelli M4,300.0,8.94,10.44,Water,5.0,74
Ranger T-Series,15.0,AR-15,727.97,5.8,11.72,Water,5.0,86
PowerBond,5.0,Kel-Tec KSG,539.01,9.83,13.3,Wood,14.0,66
JHP,6.12,Remington 870,600.47,7.44,13.87,Brick,47.0,25
HST,5.0,Smith & Wesson M&P,506.87,8.23,11.4,Wood,6.0,67
Black Talon,14.98,Ruger SR9,618.72,7.99,11.39,Brick,21.0,37
AccuBond,6.17,HK USP,572.78,9.85,9.6,Concrete,35.0,12
Critical Defense,5.0,Ruger SR9,395.31,10.38,11.88,Metal,13.0,34
V-Crown,7.16,Walther PPQ,640.78,7.8,8.3,Brick,1.0,36
SP,5.0,Kel-Tec KSG,600.02,20.0,10.2,Concrete,32.0,22
FMJ,7.19,Remington 870,425.76,11.67,7.97,Ceramic,42.0,-2
FMJ,9.12,HK USP,465.4,2.0,7.42,Glass,1.0,65
Gold Dot,11.41,Ruger SR9,342.82,6.61,10.64,Brick,2.0,36
EFMJ,8.48,AR-15,592.38,7.92,8.05,Glass,2.0,99
BT,9.08,Winchester Model 70,594.57,10.44,8.93,Wood,5.0,55
Critical Defense,7.26,Sig Sauer P320,492.25,15.34,10.87,Kevlar,14.0,23
SP,5.0,CZ 75,300.0,5.12,11.91,Rubber,1.0,27
FMJ,5.0,Beretta 92FS,300.0,12.6,13.95,Ceramic,4.0,14
FMJ,7.91,CZ 75,453.72,8.81,6.22,Concrete,10.0,29
AMAX,9.25,HK416,547.32,9.32,8.28,Ceramic,20.0,29
TMJ,7.68,AK-47,628.94,12.78,6.24,Glass,48.0,52
EFMJ,5.0,Kel-Tec KSG,726.56,2.0,7.46,Glass,35.0,47
Critical Defense,9.6,Barrett M82,428.58,10.14,11.05,Rubber,1.0,62
Critical Duty,13.89,Desert Eagle,300.0,14.61,9.94,Sand,68.0,18
Critical Defense,8.66,AK-47,397.26,3.77,6.8,Wood,6.0,77
Golden Saber,7.26,M16,936.65,8.01,10.66,Concrete,9.0,46
JHP,8.82,AK-47,828.85,10.71,13.09,Brick,2.0,34
Gold Dot,5.69,HK416,585.62,2.0,7.9,Kevlar,55.0,14
V-Crown,5.49,FN Five-seveN,413.68,9.34,10.84,Metal,16.0,37
SP,10.35,Desert Eagle,481.74,6.96,13.2,Brick,15.0,32
PowerBond,11.97,Desert Eagle,842.94,13.61,8.23,Glass,1.0,100
HST,8.56,FN Five-seveN,542.0,5.04,9.83,Kevlar,1.0,30
AMAX,5.0,M4 Carbine,423.9,7.83,7.06,Water,23.0,58
TMJ,10.06,Winchester Model 70,765.25,4.78,12.71,Glass,13.0,63
JHP,15.0,CZ 75,300.0,7.52,10.84,Glass,14.0,69
Gold Dot,8.27,HK416,300.0,5.13,8.78,Ceramic,21.0,18
BTHP,8.47,CZ 75,339.01,6.46,9.63,Water,3.0,59
ELD-M,6.38,HK USP,700.33,3.41,11.87,Wood,100.0,23
AP,10.44,Smith & Wesson M&P,387.84,5.22,6.8,Rubber,2.0,64
PolyCase ARX,6.99,HK416,300.0,5.0,8.36,Rubber,6.0,42
V-Crown,12.06,FN Five-seveN,361.56,6.17,10.44,Glass,24.0,60
Critical Duty,7.03,Kel-Tec KSG,405.81,7.53,11.78,Glass,15.0,77
EFMJ,10.03,Glock 17,486.5,2.0,10.91,Sand,2.0,31
AccuBond,8.86,M4 Carbine,525.65,8.57,7.11,Brick,30.0,31
AP,13.67,HK416,693.53,12.96,12.0,Wood,70.0,36
Partition,10.23,Sig Sauer P320,437.59,11.02,12.36,Wood,13.0,79
PolyCase ARX,13.16,AK-47,383.45,4.53,12.01,Metal,6.0,53
Partition,9.33,FN Five-seveN,509.34,12.09,10.04,Ceramic,2.0,29
AP,8.49,M4 Carbine,548.53,4.76,8.86,Water,5.0,75
TMJ,8.89,Remington 870,379.73,9.17,12.89,Brick,7.0,22
BT,6.69,CZ 75,300.0,2.0,9.06,Wood,4.0,33
BTHP,10.6,Barrett M82,402.02,10.44,10.27,Wood,23.0,41
AccuBond,6.93,M16,661.49,8.02,11.85,Metal,1.0,55
SP,9.34,Remington 870,484.24,8.55,12.54,Rubber,11.0,53
HST,11.57,Beretta 92FS,748.77,8.07,8.56,Concrete,9.0,33
SP,13.75,Remington 870,600.51,15.47,12.6,Wood,42.0,46
Ranger T-Series,9.49,Beretta 92FS,394.42,11.5,8.91,Water,6.0,70
AP,11.58,Ruger SR9,793.81,10.86,11.6,Concrete,17.0,44
V-Crown,11.23,Smith & Wesson M&P,326.19,10.22,11.32,Rubber,1.0,56
HST,7.85,Colt 1911,300.0,16.02,10.14,Water,50.0,55
ELD-M,15.0,M16,568.82,6.99,7.27,Wood,20.0,79
AccuBond,7.27,AK-47,343.23,2.45,7.98,Metal,32.0,27
PowerBond,9.27,HK416,488.66,14.87,11.99,Metal,17.0,16
BT,13.36,Barrett M82,300.0,6.1,10.92,Kevlar,34.0,16
Critical Defense,13.29,Mossberg 500,500.91,9.98,11.12,Kevlar,2.0,25
HST,9.04,Glock 17,596.96,10.09,9.44,Ceramic,25.0,18
PowerBond,11.97,SCAR-L,626.52,5.06,9.25,Metal,3.0,48
Critical Duty,8.33,M16,300.0,2.35,10.94,Water,17.0,53
PowerBond,7.53,AR-15,300.0,12.26,9.35,Wood,85.0,30
Partition,5.36,Desert Eagle,579.5,13.07,10.92,Sand,4.0,46
SP,11.17,Springfield XD,424.09,10.53,7.65,Kevlar,6.0,12
BTHP,11.49,Smith & Wesson M&P,388.65,9.61,10.17,Brick,5.0,33
HST,7.3,Mossberg 500,476.48,2.41,8.56,Water,11.0,52
HST,9.8,Beretta 92FS,465.92,6.67,10.46,Water,13.0,62
Black Talon,15.0,Mossberg 500,574.79,12.85,7.82,Metal,3.0,49
Ranger T-Series,12.44,Mossberg 500,597.5,4.88,12.6,Sand,1.0,46
Partition,6.3,CZ 75,696.78,8.53,6.75,Ceramic,8.0,30
Extreme Point,12.0,Barrett M82,448.35,9.84,12.11,Glass,10.0,80
Critical Duty,6.31,Desert Eagle,699.15,10.06,9.37,Wood,10.0,79
Gold Dot,5.0,SCAR-L,617.5,3.9,11.25,Sand,22.0,52
HST,8.94,Colt 1911,674.6,7.53,10.93,Glass,12.0,115
AP,13.69,Beretta 92FS,300.0,11.38,8.96,Wood,2.0,72
Critical Defense,13.19,Remington 870,479.39,15.44,9.18,Kevlar,54.0,14
BTHP,10.13,Glock 17,879.05,7.14,12.1,Water,24.0,52
Gold Dot,7.37,Benelli M4,300.0,9.64,10.32,Rubber,5.0,64
Critical Defense,10.46,Springfield XD,858.31,3.36,9.45,Kevlar,55.0,12
BTHP,8.19,AK-47,849.46,7.03,9.2,Metal,96.0,20
ELD-M,7.46,AR-15,646.39,6.0,9.53,Metal,4.0,53
Golden Saber,12.19,Smith & Wesson M&P,300.0,15.75,13.31,Glass,10.0,96
Black Talon,7.42,Sig Sauer P320,456.68,10.93,13.01,Ceramic,1.0,36
Gold Dot,12.38,Colt 1911,658.51,8.37,13.39,Concrete,13.0,15
Hydra-Shok,7.22,HK416,300.0,2.0,13.3,Sand,31.0,45
Ranger T-Series,15.0,Remington 700,635.25,9.23,8.59,Glass,47.0,69
PolyCase ARX,5.0,Walther PPQ,521.6,9.27,10.14,Ceramic,16.0,27
BT,6.13,FN Five-seveN,386.2,7.09,8.81,Concrete,8.0,19
SP,8.53,Springfield XD,300.0,8.19,11.79,Wood,17.0,64
Critical Defense,5.0,SCAR-L,791.81,15.21,9.68,Wood,2.0,98
Partition,5.0,SCAR-L,655.36,11.8,9.15,Water,36.0,66
Black Talon,5.0,Desert Eagle,467.01,4.46,9.21,Glass,15.0,89
PolyCase ARX,8.12,Smith & Wesson M&P,506.96,15.81,8.53,Metal,81.0,11
AP,8.2,Barrett M82,446.43,4.82,11.41,Wood,10.0,84
PolyCase ARX,10.0,HK416,300.0,14.46,11.07,Water,21.0,50
PowerBond,8.41,AK-47,757.7,5.1,8.59,Sand,8.0,45
Ranger T-Series,9.9,HK USP,543.77,7.39,11.82,Wood,3.0,61
Partition,7.65,Remington 870,690.88,2.0,10.66,Water,28.0,48
ELD-M,11.14,Dragunov SVD,409.15,10.11,8.09,Wood,22.0,41
Critical Duty,10.78,AR-15,518.43,2.0,7.91,Brick,30.0,31
PolyCase ARX,8.02,M16,563.98,8.83,8.16,Metal,78.0,23
TMJ,10.6,Mossberg 500,706.23,6.26,11.83,Wood,100.0,24
ELD-M,8.43,AR-15,858.6,6.31,12.96,Metal,53.0,30
Golden Saber,5.0,Colt 1911,430.25,9.58,6.0,Metal,45.0,18
BT,11.71,SCAR-L,430.48,11.28,7.61,Kevlar,7.0,21
SP,6.28,Glock 17,450.86,13.24,12.6,Brick,13.0,34
PowerBond,11.68,Springfield XD,380.74,3.32,9.43,Glass,1.0,81
EFMJ,9.97,Dragunov SVD,1000.0,6.76,12.1,Wood,23.0,42
EFMJ,8.75,Desert Eagle,300.0,7.81,10.16,Brick,16.0,30
V-Crown,5.0,Ruger SR9,1000.0,10.41,10.63,Metal,25.0,48
Hydra-Shok,13.62,Barrett M82,627.73,10.33,12.2,Concrete,23.0,34
Critical Defense,7.91,SCAR-L,483.48,4.62,9.95,Rubber,6.0,69
BTHP,10.9,HK416,332.47,12.81,8.31,Wood,12.0,68
TMJ,8.66,Remington 700,491.91,9.64,11.15,Kevlar,2.0,16
Critical Defense,8.19,Colt 1911,387.25,15.16,9.19,Metal,2.0,42
HST,9.58,M4 Carbine,776.07,9.27,14.0,Water,12.0,87
V-MAX,9.08,CZ 75,626.21,2.0,9.69,Metal,16.0,39
ELD-M,8.2,Desert Eagle,834.18,4.71,11.06,Concrete,8.0,33
Golden Saber,8.83,FN Five-seveN,441.92,7.36,11.85,Ceramic,1.0,18
Critical Duty,10.28,Benelli M4,528.27,4.62,12.42,Sand,22.0,53
AMAX,10.49,CZ 75,480.52,4.48,12.35,Brick,23.0,35
TMJ,9.13,Ruger SR9,425.24,15.62,12.35,Concrete,8.0,24
BTHP,10.86,FN Five-seveN,300.0,3.0,9.81,Concrete,1.0,9
V-Crown,7.73,Remington 870,643.87,5.88,11.59,Rubber,20.0,59
JHP,15.0,HK416,568.21,8.26,6.23,Wood,1.0,86
BT,13.46,Springfield XD,490.55,2.74,11.3,Kevlar,5.0,13
BT,11.29,AR-15,600.59,7.35,11.4,Kevlar,6.0,16
V-MAX,5.0,Springfield XD,417.57,2.0,11.69,Wood,6.0,54
Gold Dot,10.82,Benelli M4,503.04,5.8,11.78,Ceramic,19.0,26
AMAX,7.99,Beretta 92FS,672.41,3.53,11.8,Sand,2.0,49
Ranger T-Series,6.06,Springfield XD,699.73,6.77,9.33,Rubber,21.0,44
Critical Duty,7.91,AR-15,805.64,7.78,9.51,Metal,13.0,64
FMJ,6.4,CZ 75,300.0,13.39,11.4,Concrete,9.0,20
Extreme Point,10.52,Kel-Tec KSG,307.48,5.56,6.48,Water,19.0,54
Black Talon,13.85,Kel-Tec KSG,300.0,16.55,7.09,Wood,41.0,66
HST,11.48,AK-47,370.36,8.85,8.83,Ceramic,16.0,37
ELD-M,15.0,Barrett M82,432.96,4.23,9.19,Glass,3.0,96
Partition,5.0,Colt 1911,587.41,8.54,10.6,Glass,16.0,83
Critical Duty,7.48,Glock 17,732.91,12.94,14.0,Wood,12.0,71
AP,6.17,HK416,421.23,3.73,9.11,Water,56.0,45
AP,12.69,Sig Sauer P320,614.79,15.77,10.94,Kevlar,18.0,34
V-MAX,8.34,HK416,755.6,10.13,6.76,Wood,1.0,62
Gold Dot,9.57,FN Five-seveN,408.95,3.42,9.12,Kevlar,3.0,30
Critical Defense,10.9,Sig Sauer P320,443.74,5.91,11.42,Kevlar,15.0,38
Extreme Point,5.0,Ruger SR9,513.22,6.34,9.25,Sand,32.0,30
ELD-M,7.14,Beretta 92FS,300.0,12.43,8.8,Brick,2.0,32
TMJ,11.99,Dragunov SVD,602.26,3.28,6.0,Glass,17.0,69
Gold Dot,7.36,Colt 1911,300.0,14.16,8.5,Sand,12.0,37
ELD-M,5.0,AR-15,657.94,12.57,12.28,Water,9.0,75
SP,6.29,Walther PPQ,413.81,14.66,9.14,Brick,2.0,33
Critical Duty,8.14,AR-15,397.92,8.24,10.18,Metal,42.0,22
Critical Duty,9.5,AK-47,304.27,12.94,8.52,Sand,29.0,37
V-Crown,8.79,Colt 1911,608.2,7.04,9.41,Kevlar,51.0,31
Black Talon,7.16,Beretta 92FS,606.9,12.09,12.4,Water,4.0,71
AMAX,11.82,Beretta 92FS,408.97,8.35,9.12,Water,17.0,61
BTHP,8.61,Walther PPQ,859.53,15.2,8.54,Concrete,1.0,42
ELD-M,9.63,Dragunov SVD,506.86,9.07,12.45,Wood,4.0,82
FMJ,7.32,Smith & Wesson M&P,497.21,4.62,9.94,Sand,31.0,16
SP,13.53,Desert Eagle,511.86,14.05,9.4,Ceramic,7.0,20
Critical Duty,7.83,Winchester Model 70,363.94,8.83,10.36,Metal,4.0,37
Partition,9.22,Barrett M82,301.23,5.85,12.13,Concrete,16.0,28
HST,12.1,HK416,425.29,5.66,10.26,Brick,21.0,24
Partition,9.84,Springfield XD,626.8,4.44,8.62,Kevlar,19.0,36
AccuBond,9.77,SCAR-L,300.0,2.27,10.25,Ceramic,2.0,10
FMJ,5.0,Sig Sauer P320,300.0,6.31,6.87,Kevlar,53.0,-5
V-MAX,11.04,Smith & Wesson M&P,378.49,8.82,8.17,Sand,4.0,45
PolyCase ARX,9.17,Barrett M82,300.0,6.48,10.67,Brick,52.0,21
V-MAX,10.62,Winchester Model 70,300.0,2.0,10.06,Metal,13.0,54
Critical Defense,9.55,AR-15,661.89,2.0,10.79,Glass,2.0,108
Critical Duty,7.32,M4 Carbine,412.35,11.76,10.86,Brick,3.0,46
Critical Duty,11.68,Kel-Tec KSG,330.82,7.54,11.65,Glass,11.0,92
Hydra-Shok,9.59,Remington 700,527.99,2.0,10.22,Glass,100.0,29
PolyCase ARX,5.13,Desert Eagle,523.0,6.58,12.03,Ceramic,43.0,14
Ranger T-Series,12.93,HK416,732.92,8.5,10.92,Water,78.0,31
Extreme Point,5.0,Dragunov SVD,300.0,11.82,11.03,Kevlar,12.0,17
PolyCase ARX,11.7,CZ 75,314.71,5.25,8.33,Ceramic,23.0,29
EFMJ,13.46,Ruger SR9,380.6,10.54,8.57,Wood,15.0,54
BT,5.68,Colt 1911,578.23,7.91,8.95,Brick,1.0,27
AP,8.63,Ruger SR9,1000.0,6.52,13.8,Glass,3.0,105
SP,8.35,Sig Sauer P320,617.28,11.49,12.74,Concrete,7.0,26
Gold Dot,8.49,Remington 870,446.82,4.22,8.23,Rubber,8.0,53
Black Talon,14.49,Desert Eagle,300.0,11.79,9.96,Kevlar,24.0,11
